Name,StageName,CloseDate,AccountId
Opportunity1,Prospecting,6/15/2024,001dL000007ZHTOQA4
Opportunity2,Qualification,6/16/2024,001dL000007ZHTPQA4
Opportunity3,Needs Analysis,6/17/2024,001dL000007ZHTQQA4
Opportunity4,Prospecting,6/18/2024,001dL000007ZHTRQA4
Opportunity5,Qualification,6/19/2024,001dL000007ZHTSQA4
Opportunity6,Needs Analysis,6/20/2024,001dL000007ZHTTQA4
Opportunity7,Prospecting,6/21/2024,001dL000007ZHTUQA4
Opportunity8,Qualification,6/15/2024,001dL000007ZHTVQA4
Opportunity9,Needs Analysis,6/16/2024,001dL000007ZHTWQA4
Opportunity10,Prospecting,6/17/2024,001dL000007ZHTXQA4
Opportunity11,Qualification,6/18/2024,001dL000007ZHTYQA4
Opportunity12,Needs Analysis,6/19/2024,001dL000007ZHTZQA4
Opportunity13,Prospecting,6/20/2024,001dL000007ZHTaQAO
Opportunity14,Qualification,6/21/2024,001dL000007ZHTbQAO
Opportunity15,Needs Analysis,6/15/2024,001dL000007ZHTcQAO
Opportunity16,Prospecting,6/16/2024,001dL000007ZHTdQAO
Opportunity17,Qualification,6/17/2024,001dL000007ZHTeQAO
Opportunity18,Needs Analysis,6/18/2024,001dL000007ZHTfQAO
Opportunity19,Prospecting,6/19/2024,001dL000007ZHTgQAO
Opportunity20,Qualification,6/20/2024,001dL000007ZHThQAO
Opportunity21,Needs Analysis,6/21/2024,001dL000007ZHTiQAO
Opportunity22,Prospecting,6/15/2024,001dL000007ZHTjQAO
Opportunity23,Qualification,6/16/2024,001dL000007ZHTkQAO
Opportunity24,Needs Analysis,6/17/2024,001dL000007ZHTlQAO
Opportunity25,Prospecting,6/18/2024,001dL000007ZHTmQAO
Opportunity26,Qualification,6/19/2024,001dL000007ZHTnQAO
Opportunity27,Needs Analysis,6/20/2024,001dL000007ZHToQAO
Opportunity28,Prospecting,6/21/2024,001dL000007ZHTpQAO
Opportunity29,Qualification,6/16/2024,001dL000007ZHTqQAO
Opportunity30,Needs Analysis,6/17/2024,001dL000007ZHTrQAO
Opportunity31,Prospecting,6/18/2024,001dL000007ZHTsQAO
Opportunity32,Qualification,6/19/2024,001dL000007ZHTtQAO
Opportunity33,Needs Analysis,6/20/2024,001dL000007ZHTuQAO
Opportunity34,Prospecting,6/21/2024,001dL000007ZHTvQAO
Opportunity35,Qualification,6/15/2024,001dL000007ZHTwQAO
Opportunity36,Needs Analysis,6/16/2024,001dL000007ZHTxQAO
Opportunity37,Prospecting,6/17/2024,001dL000007ZHTyQAO
Opportunity38,Qualification,6/18/2024,001dL000007ZHTzQAO
Opportunity39,Needs Analysis,6/19/2024,001dL000007ZHU0QAO
Opportunity40,Prospecting,6/20/2024,001dL000007ZHU1QAO
Opportunity41,Qualification,6/21/2024,001dL000007ZHU2QAO
Opportunity42,Needs Analysis,6/16/2024,001dL000007ZHU3QAO
Opportunity43,Prospecting,6/17/2024,001dL000007ZHU4QAO
Opportunity44,Qualification,6/18/2024,001dL000007ZHU5QAO
Opportunity45,Needs Analysis,6/19/2024,001dL000007ZHU6QAO
Opportunity46,Prospecting,6/20/2024,001dL000007ZHU7QAO
Opportunity47,Qualification,6/21/2024,001dL000007ZHU8QAO
Opportunity48,Needs Analysis,6/15/2024,001dL000007ZHU9QAO
Opportunity49,Prospecting,6/16/2024,001dL000007ZHUAQA4
Opportunity50,Qualification,6/17/2024,001dL000007ZHUBQA4
